Slot,Roll,Department,Program,Company,Job code
10.1,183059003,Computer Science & Engineering,M.Tech.,Colortokens,1
10.1,193100039,Mechanical Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,195280009,Applied Statistics and Informatics,M.Sc.,NeuralTechSoft,1
10.1,193070021,Electrical Engineering,M.Tech.,Ignitarium Technology Solutions Pvt Ltd,1
10.1,193060032,Earth Sciences,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183310001,Geoinformatics and Natural Resources Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,1
10.1,193050057,Computer Science & Engineering,M.Tech.,Colortokens,1
10.1,170070003,Electrical Engineering,B.Tech.,BeeHyv,1
10.1,193170012,Energy Science and Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183109005,Mechanical Engineering,M.Tech.,Applied Materials,2
10.1,193110015,Metallurgical Engineering and Materials Science,M.Tech.,LnT LTD,1
10.1,193010030,Aerospace Engineering,M.Tech.,LnT LTD,1
10.1,193180013,Environmental Science & Engineering,M.Tech.,LnT LTD,1
10.1,193310014,Geoinformatics and Natural Resources Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,1
10.1,16D070026,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Ignitarium Technology Solutions Pvt Ltd,1
10.1,193110054,Metallurgical Engineering and Materials Science,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,160110047,Metallurgical Engineering and Materials Science,B.Tech.,Agrifi,1
10.1,170050085,Computer Science & Engineering,B.Tech.,Agrifi,2
10.1,193040049,Civil Engineering,M.Tech.,LnT LTD,1
10.1,170020120,Chemical Engineering,B.Tech.,BeeHyv,1
10.1,193060013,Earth Sciences,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,195060002,Earth Sciences,M.Sc.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,164076016,Electrical Engineering,Ph.D.,www.globalfoundries.com,3
10.1,170100087,Mechanical Engineering,B.Tech.,BeeHyv,1
10.1,170070053,Electrical Engineering,B.Tech.,Jalan Technology Consulting,1
10.1,193040056,Civil Engineering,M.Tech.,LnT LTD,1
10.1,170260016,Engineering Physics,B.Tech.,BeeHyv,1
10.1,18310R001,Mechanical Engineering,M.Tech.,LnT LTD,1
10.1,193180016,Environmental Science & Engineering,M.Tech.,Regent Climate Connect Knowledge Solutions Private Limited,2
10.1,193040032,Civil Engineering,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,170100045,Mechanical Engineering,B.Tech.,BeeHyv,1
10.1,173110014,Metallurgical Engineering and Materials Science,M.Tech.,Impact Guru Technology Ventures Pvt. Ltd.,1
10.1,183050046,Computer Science & Engineering,M.Tech.,Innoviti Payment Solutions,1
